id,nom,categ,description,geometry,lat,lng
SPI_s,route bois d'olives mahavel le bras de Pontho le pont d'Yves,cabs,route_,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.42819925583664,-21.30482686869723 55.44128947310752,-21.2964017780845 55.44206236765546,-21.29644466099499 55.44297996104356,-21.29623066311604 55.44393132722734,-21.29615554302382 55.44573024125599,-21.29479496347317 55.44645857731641,-21.29477062078546 55.44666491707817,-21.29487564882659 55.44773755368896,-21.29422126785635 55.44805940406359,-21.29433895684299 55.44754671414725,-21.29504726210148 55.44758218119056,-21.2952995999615 55.44882403560917,-21.29557196769185 55.44893974416789,-21.29578951046896 55.44893307224821,-21.29597072055135 55.44910833849583,-21.29603293890859 55.44968228088334,-21.29584265574999 55.44982980096955,-21.29591504391635 55.44989606084495,-21.295812443126 55.45110408584994,-21.29304668816954 55.45190278479652,-21.29236382204368 55.45238037278712,-21.29165531418699 55.45289579778156,-21.29124536891627 55.45437282804448,-21.28985170751286 55.45487990059775,-21.28970853136735 55.45703445149202,-21.2881886702703 55.45844550583491,-21.28717182464203 55.460642372841,-21.28528085749277 55.46347412154542,-21.28267977264071 55.4644867241111,-21.28185774703782 55.46520224316791,-21.28063563969406 55.46645295280031,-21.27901823995159 55.46768650096712,-21.27789278749114 55.46810269930418,-21.27758900227733 55.46840261771876,-21.27650868453538 55.46783832239996,-21.2760016988863 55.46949623010909,-21.27637652554395 55.47002654247429,-21.2769382673992 55.47025747138893,-21.2768507292185 55.47026328741603,-21.27600655221962 55.470209854805,-21.27559137155219 55.47138924460244,-21.27435524590356 55.47183955912835,-21.27428981852131 55.47326451568051,-21.27259286024711 55.4751880024059,-21.27029248905214 55.47572003393476,-21.26964933095909 55.47598608375619,-21.26890045979053 55.47643232792357,-21.26814455130847 55.47789497979359,-21.26687836716666 55.47887832470049,-21.26612945895412 55.47922983005929,-21.26561062479716 55.48020952888445,-21.26485325843439 55.48027810273971,-21.26374392625956 55.4816752463769,-21.26103441781637 55.48220475319676,-21.26067886435912 55.48249601031889,-21.26023422932728 55.4830522463819,-21.25989205720943 55.48382968972669,-21.25914296162748 55.48377267933083,-21.25894990307327 55.4834087780527,-21.25868416990118 55.48330563851189,-21.25826076928259 55.48371562044104,-21.25731145728009 55.48319668595782,-21.25603953662157 55.48339736332556,-21.25548354332839 55.48331965390466,-21.25515165025611 55.48354542679221,-21.25483820227298 55.48387244816404,-21.25445657982614 55.48414608207292,-21.25380543433426 55.48445463765126,-21.25347631127521 55.48437502985831,-21.25336352467807 55.48398035145758,-21.25333745211043 55.48368977202922,-21.25341719769435 55.48349975993622,-21.25336743990726 55.48343611509607,-21.25293199520016 55.48359007977927,-21.25277328857169 55.48414847737418,-21.25301838945369 55.48438031303692,-21.25287995651958 55.48446045012831,-21.25264435450448 55.4841465195049,-21.25185827341047 55.48431105577038,-21.25118516746955 55.48471635966111,-21.25096301817596 55.48497467309024,-21.2507865617252 55.48543332866342,-21.25070129974315 55.48608272480871,-21.2501483759695 55.48632633005099,-21.25016643873147 55.48658548951052,-21.25031782864382 55.48692322950637,-21.25035285527694 55.48752351058422,-21.25013628367763 55.4877202586429,-21.24993816321751 55.48757194167993,-21.24983427936228 55.48723716568605,-21.24962138271125 55.48722256635475,-21.24943828635518 55.48753061153455,-21.24922689041204 55.48782052402513,-21.24927275615798 55.48801829682844,-21.24934036387943 55.48814126692329,-21.24920062166178 55.48809277967429,-21.24873402641149 55.48818290902695,-21.24858202275789 55.48839181974755,-21.24861534807695 55.48857379562388,-21.2486706443404 55.48886661808714,-21.24847462018594 55.48950909529355,-21.24796788663994 55.48981459933665,-21.24785896558193 55.48981700770104,-21.24774999507123 55.489631618849,-21.24752554670756 55.48969212880125,-21.24710159109814 55.48998734412271,-21.24691961024946 55.49114936904829,-21.24651401023887 55.49116473879305,-21.24650576790468 55.49129121717865,-21.24632639437995 55.49126848285241,-21.24598786368509 55.49147520806083,-21.2458409030284 55.49221633532828,-21.24570281936299 55.49227647932425,-21.2454080015715 55.49240161950015,-21.24468486123253 55.49253303628452,-21.24448006779648 55.49253336783277,-21.24378194296476 55.49194346177283,-21.24305112814574 55.49195884605336,-21.24234984828541 55.49209036657107,-21.24204645685407 55.4919547875525,-21.24197615771038 55.49165784377708,-21.241863194332 55.49164548454236,-21.2417307624891 55.49233669398716,-21.24094116732013 55.49239433545142,-21.24077867296108 55.49261618980076,-21.24077314721169 55.4930121972786,-21.24059882992108 55.49317570616778,-21.24069108189204 55.49330311051786,-21.24087809251054 55.49342911262892,-21.24081897098323 55.49406092486022,-21.23972307210164 55.49416958200742,-21.23980493915641 55.49435216212023,-21.24024271764159 55.4944747650723,-21.24021464505771 55.49446923216544,-21.23984543658528 55.49462302039937,-21.23981976075087 55.49514370409105,-21.24002472628057 55.49558252734055,-21.23949345203168 55.49569840317304,-21.2395397210309 55.49564668484676,-21.23974659509544 55.49577048387313,-21.23974786236717 55.49597595632055,-21.23952760815469 55.49649171870097,-21.2398118384456 55.49731975776918,-21.23927832704706 55.4973760032769,-21.23908650229365 55.49806126868349,-21.23920200601218 55.49831926588606,-21.23856241652972 55.49833472225818,-21.23818595107707 55.49900437164369,-21.2377413209837 55.49914977071219,-21.23777968906498 55.49918926949305,-21.23758386213541 55.49957201326845,-21.23766336667682 55.49962506646792,-21.23753865551112 55.49955090660637,-21.23673710694207 55.50009490155735,-21.23638592186117 55.50020684000803,-21.23625197718368 55.50060104119482,-21.23606060443703 55.5008911579459,-21.23609204534317 55.50099702176963,-21.23599543942187 55.50101827483791,-21.2358115553556 55.50117473410413,-21.23550014320195 55.5013198955553,-21.2355325202918 55.50137581365851,-21.23531523081637 55.50163667284572,-21.23540791241659 55.50231860736918,-21.23542320859752 55.50238372729845,-21.23530790555864 55.50224029233366,-21.23506587975239 55.50232638241501,-21.23498720245082 55.50353517550748,-21.23535642348467 55.50379618939909,-21.23520076162647 55.50389071634766,-21.23526453069065 55.50388644678234,-21.23595921703934 55.50419209531695,-21.2361168487009 55.50484655992037,-21.23596929413562 55.50521222276498,-21.23650436267324</coordinates>
        </LineString>",-21.30482686869723 ,55.42819925583664
SPI_s,canal Saint-Etienne,hiker,sentier_,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.45532770061667,-21.28738177016709 55.45515057261802,-21.28608960712714 55.4550583151965,-21.2860843015899 55.45502356731748,-21.28610834206925 55.45315461350398,-21.28666692431475 55.45383239525392,-21.28708333827703 55.45517018823519,-21.28747448657036 55.45452512172291,-21.28807288676598 55.45410980245579,-21.28899020408121 55.45402425841863,-21.28940139138982 55.45343151233226,-21.29017452242533 55.45255286530253,-21.29084069175589 55.45138940733808,-21.29111391780509 55.4508943182659,-21.2912637141666 55.45010364287629,-21.29193673055056 55.44944221534855,-21.29243380011244 55.44862391501381,-21.29305304862629 55.44831094832633,-21.29326882277761 55.44802236257963,-21.29354415689932 55.44747740975537,-21.29403307404 55.44718399642164,-21.29431521853909 55.4468902473364,-21.29459335528093</coordinates>
        </LineString>",-21.28738177016709 ,55.45532770061667
SPI_s,litoral terre rouge,hiker,sentier_,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.49892609677784,-21.34871520101439 55.49872686864686,-21.34897743865726 55.49867645665862,-21.34932084031964 55.4986316177153,-21.34941743482881 55.49824249371476,-21.34954512506958 55.4982075528454,-21.3496542144794 55.49869540157809,-21.35001326224824 55.49877997719254,-21.35016258032598 55.49877998899162,-21.35016773850171 55.4988873601861,-21.3503871245029</coordinates>
        </LineString>",-21.34871520101439 ,55.49892609677784
SPI_s,sentier la corde,hiker,sentier_,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.45308938356998,-21.28633617578001 55.4550219456031,-21.28583918410805 55.45646973225716,-21.28575707807399 55.4577443743001,-21.28553485580929 55.4582039996535,-21.28535462540194 55.45870510082304,-21.28506300125923 55.45915918909806,-21.28482242249861 55.46004310394675,-21.28440418758488 55.46033059345661,-21.28416373075843 55.46040763311025,-21.28370966297725 55.46066507944939,-21.28352488172835 55.46103317710357,-21.28316537889656 55.46158148894476,-21.28269783654642</coordinates>
        </LineString>",-21.28633617578001 ,55.45308938356998
